trip_id,customer_id,driver_id,pickup_location,drop_location,trip_fare
TRIP1083,CUST3121,DRIVER4950,Lucknow,Jaipur,957.58
TRIP1087,CUST5139,DRIVER2633,Ahmedabad,Mumbai,338.16
TRIP1088,CUST25343,DRIVER4591,Delhi,Bangalore,355.6
TRIP1092,CUST24416,DRIVER3542,Pune,Hyderabad,950.59
TRIP1097,CUST36295,DRIVER7840,Delhi,Bangalore,512.31
TRIP1098,CUST43889,DRIVER5259,Chennai,Jaipur,469.55
TRIP1105,CUST49615,DRIVER8453,Bangalore,Hyderabad,326.17
TRIP1107,CUST11442,DRIVER1367,Pune,Chennai,385.27
TRIP1109,CUST23057,DRIVER9486,Delhi,Chennai,965.08
TRIP1110,CUST25948,DRIVER1936,Hyderabad,Ahmedabad,473.45
TRIP1111,CUST25325,DRIVER4807,Delhi,Lucknow,652.9
TRIP1115,CUST26303,DRIVER5489,Bangalore,Pune,266.3
TRIP1118,CUST11326,DRIVER5144,Jaipur,Ahmedabad,744.14
TRIP1121,CUST42431,DRIVER6566,Hyderabad,Ahmedabad,741.91
TRIP1122,CUST24552,DRIVER4052,Ahmedabad,Hyderabad,845.67
TRIP1123,CUST24836,DRIVER4682,Pune,Bangalore,926.99
TRIP1127,CUST2031,DRIVER6503,Hyderabad,Delhi,660.41
TRIP1129,CUST35652,DRIVER3606,Mumbai,Hyderabad,951.2
TRIP1130,CUST18845,DRIVER7609,Bangalore,Delhi,347.46
TRIP1131,CUST34340,DRIVER3164,Bangalore,Mumbai,253.97
TRIP1132,CUST21267,DRIVER4934,Ahmedabad,Kolkata,935.79
TRIP1137,CUST5600,DRIVER1295,Delhi,Chennai,875.93
TRIP1140,CUST42178,DRIVER196,Chennai,Hyderabad,532.86
TRIP1144,CUST43628,DRIVER1813,Jaipur,Chennai,488.43
TRIP1147,CUST23082,DRIVER5421,Kolkata,Mumbai,98.66
TRIP1148,CUST4298,DRIVER4153,Pune,Mumbai,610.41
TRIP1150,CUST42586,DRIVER4855,Jaipur,Bangalore,583.25
TRIP1154,CUST5020,DRIVER6616,Bangalore,Pune,69.34
TRIP1155,CUST46466,DRIVER1510,Ahmedabad,Chennai,755.64
TRIP1157,CUST19023,DRIVER1367,Jaipur,Mumbai,97.8
TRIP1158,CUST23371,DRIVER1580,Delhi,Jaipur,239.2
TRIP1159,CUST30653,DRIVER2801,Kolkata,Hyderabad,883.55
