payment_id,trip_id,trip_fare,mode_of_payment
PAY361,TRIP361,474.65,UPI
PAY367,TRIP367,696.1,UPI
PAY368,TRIP368,408.72,Cash
PAY374,TRIP374,676.0,Cash
PAY376,TRIP376,258.35,Card
PAY386,TRIP386,661.42,Wallet
PAY388,TRIP388,518.38,Wallet
PAY391,TRIP391,756.49,Card
PAY393,TRIP393,388.0,Wallet
PAY394,TRIP394,431.47,Card
PAY395,TRIP395,68.07,Wallet
PAY396,TRIP396,93.2,Wallet
PAY397,TRIP397,617.8,UPI
PAY398,TRIP398,582.22,Cash
PAY403,TRIP403,384.34,Card
PAY405,TRIP405,964.82,Card
PAY409,TRIP409,835.06,Wallet
PAY411,TRIP411,879.45,Wallet
PAY413,TRIP413,819.1,UPI
PAY415,TRIP415,451.17,Cash
PAY417,TRIP417,55.26,Cash
PAY420,TRIP420,410.34,UPI
PAY423,TRIP423,140.15,Card
PAY427,TRIP427,736.75,Cash
PAY428,TRIP428,429.81,Wallet
PAY430,TRIP430,502.73,Wallet
PAY432,TRIP432,640.53,Cash
PAY433,TRIP433,594.67,Cash
PAY435,TRIP435,901.63,UPI
PAY436,TRIP436,431.8,Cash
PAY439,TRIP439,197.99,Cash
PAY443,TRIP443,931.61,Wallet
PAY446,TRIP446,52.6,Cash
PAY447,TRIP447,541.01,Cash
PAY449,TRIP449,912.88,Wallet
PAY450,TRIP450,135.72,UPI
PAY452,TRIP452,295.81,UPI
PAY456,TRIP456,773.18,Cash
PAY464,TRIP464,768.51,UPI
PAY465,TRIP465,210.86,Wallet
PAY477,TRIP477,304.98,Wallet
PAY487,TRIP487,173.65,Wallet
PAY491,TRIP491,580.41,UPI
PAY497,TRIP497,482.5,Wallet
PAY499,TRIP499,925.39,UPI
PAY510,TRIP510,970.03,UPI
PAY514,TRIP514,256.74,Card
PAY517,TRIP517,326.13,Card
PAY518,TRIP518,74.66,Cash
PAY521,TRIP521,638.13,Card
PAY534,TRIP534,320.49,Card
PAY536,TRIP536,527.28,Card
PAY538,TRIP538,188.38,Card
PAY546,TRIP546,442.92,Wallet
PAY551,TRIP551,737.85,Wallet
PAY554,TRIP554,762.47,Card
PAY557,TRIP557,722.86,Card
PAY565,TRIP565,182.6,Card
PAY567,TRIP567,597.88,Cash
PAY570,TRIP570,932.69,Cash
PAY576,TRIP576,732.82,Cash
PAY577,TRIP577,81.52,UPI
PAY579,TRIP579,150.1,Cash
PAY580,TRIP580,729.82,Card
PAY581,TRIP581,473.76,UPI
PAY584,TRIP584,383.44,UPI
PAY585,TRIP585,760.25,UPI
PAY586,TRIP586,552.79,Card
PAY588,TRIP588,322.55,Wallet
PAY589,TRIP589,512.75,Cash
PAY592,TRIP592,406.41,Card
PAY593,TRIP593,346.43,Wallet
PAY597,TRIP597,163.62,Cash
PAY599,TRIP599,916.66,Cash
PAY600,TRIP600,68.85,UPI
PAY601,TRIP601,474.37,Wallet
PAY602,TRIP602,260.51,UPI
PAY603,TRIP603,748.39,Cash
PAY615,TRIP615,484.38,Card
PAY616,TRIP616,698.33,Wallet
PAY620,TRIP620,378.08,Cash
PAY625,TRIP625,629.07,Cash
PAY627,TRIP627,761.32,Card
PAY628,TRIP628,443.69,Card
PAY630,TRIP630,742.13,Wallet
PAY631,TRIP631,565.49,Card
PAY633,TRIP633,710.04,Card
PAY636,TRIP636,490.92,Card
PAY637,TRIP637,880.28,Card
PAY639,TRIP639,138.56,UPI
PAY641,TRIP641,507.47,UPI
PAY643,TRIP643,597.28,Cash
PAY644,TRIP644,568.36,UPI
PAY646,TRIP646,946.81,UPI
PAY648,TRIP648,835.76,UPI
PAY649,TRIP649,987.1,UPI
PAY654,TRIP654,626.53,Cash
PAY656,TRIP656,930.72,UPI
PAY658,TRIP658,919.58,Wallet
PAY661,TRIP661,620.06,UPI
PAY662,TRIP662,62.55,Cash
PAY666,TRIP666,344.46,Card
PAY671,TRIP671,671.1,Wallet
PAY675,TRIP675,146.23,Card
PAY676,TRIP676,279.57,Cash
PAY678,TRIP678,281.75,Wallet
PAY681,TRIP681,667.95,UPI
PAY682,TRIP682,158.18,Card
PAY684,TRIP684,689.57,Cash
PAY686,TRIP686,598.16,UPI
PAY689,TRIP689,383.57,Cash
PAY690,TRIP690,614.23,Card
PAY695,TRIP695,168.48,Card
PAY697,TRIP697,495.59,Card
PAY698,TRIP698,337.79,Wallet
PAY699,TRIP699,324.38,UPI
PAY703,TRIP703,639.99,Cash
PAY710,TRIP710,398.56,UPI
PAY712,TRIP712,901.71,UPI
PAY716,TRIP716,795.28,Wallet
PAY718,TRIP718,845.46,Cash
PAY719,TRIP719,391.05,Card
PAY721,TRIP721,791.01,UPI
PAY722,TRIP722,442.35,Cash
PAY726,TRIP726,878.38,Cash
PAY728,TRIP728,493.48,Card
PAY730,TRIP730,584.27,Cash
PAY732,TRIP732,726.32,Card
PAY733,TRIP733,125.25,UPI
PAY734,TRIP734,646.67,Card
PAY738,TRIP738,242.08,Cash
PAY739,TRIP739,158.21,Cash
PAY742,TRIP742,575.96,Cash
PAY746,TRIP746,654.09,UPI
PAY747,TRIP747,705.17,Cash
PAY750,TRIP750,792.72,Card
PAY751,TRIP751,538.68,Wallet
PAY754,TRIP754,799.98,UPI
PAY756,TRIP756,279.64,Card
PAY757,TRIP757,242.46,Card
PAY770,TRIP770,578.45,Card
PAY775,TRIP775,341.7,Cash
PAY778,TRIP778,522.21,Cash
PAY779,TRIP779,772.34,UPI
PAY780,TRIP780,460.23,UPI
PAY784,TRIP784,411.83,Card
PAY787,TRIP787,241.2,Cash
PAY788,TRIP788,282.02,Card
PAY789,TRIP789,982.23,Cash
PAY794,TRIP794,244.11,Wallet
PAY795,TRIP795,62.16,Wallet
PAY796,TRIP796,112.66,Card
PAY797,TRIP797,456.01,Wallet
PAY800,TRIP800,101.16,UPI
PAY804,TRIP804,67.08,Wallet
PAY805,TRIP805,193.0,Wallet
PAY806,TRIP806,855.15,UPI
PAY808,TRIP808,306.23,UPI
PAY811,TRIP811,511.27,Card
PAY812,TRIP812,541.98,Card
PAY815,TRIP815,790.08,Card
PAY821,TRIP821,877.34,Wallet
PAY822,TRIP822,595.75,Card
PAY828,TRIP828,719.71,UPI
PAY830,TRIP830,300.31,Cash
PAY831,TRIP831,411.18,UPI
PAY833,TRIP833,75.11,UPI
PAY834,TRIP834,847.5,UPI
PAY838,TRIP838,263.05,Wallet
PAY848,TRIP848,643.33,Cash
PAY852,TRIP852,812.41,UPI
PAY860,TRIP860,335.68,Card
PAY861,TRIP861,376.63,Wallet
PAY863,TRIP863,770.44,UPI
PAY865,TRIP865,548.99,Cash
PAY866,TRIP866,595.23,Cash
PAY870,TRIP870,894.12,Cash
PAY873,TRIP873,193.71,Card
PAY875,TRIP875,982.91,Wallet
PAY878,TRIP878,261.77,UPI
PAY880,TRIP880,519.92,Card
PAY882,TRIP882,580.34,Cash
PAY889,TRIP889,582.22,Cash
PAY893,TRIP893,924.61,Card
PAY896,TRIP896,168.35,Wallet
PAY897,TRIP897,919.11,UPI
PAY898,TRIP898,335.4,Wallet
PAY902,TRIP902,527.26,Wallet
PAY903,TRIP903,804.62,UPI
PAY904,TRIP904,453.06,Wallet
PAY905,TRIP905,645.66,UPI
PAY907,TRIP907,815.23,UPI
PAY908,TRIP908,270.61,UPI
PAY918,TRIP918,993.42,Wallet
PAY919,TRIP919,645.64,UPI
PAY921,TRIP921,565.5,Cash
PAY922,TRIP922,603.4,Wallet
PAY928,TRIP928,945.94,Wallet
PAY931,TRIP931,236.97,Cash
PAY933,TRIP933,778.6,Cash
PAY936,TRIP936,315.31,Wallet
PAY939,TRIP939,792.04,Cash
PAY946,TRIP946,247.96,UPI
PAY947,TRIP947,418.02,Card
PAY948,TRIP948,936.7,UPI
PAY955,TRIP955,551.74,Wallet
PAY957,TRIP957,165.23,UPI
PAY958,TRIP958,669.07,UPI
PAY960,TRIP960,246.96,Cash
PAY961,TRIP961,394.97,Card
PAY963,TRIP963,793.01,UPI
PAY964,TRIP964,895.26,Cash
PAY965,TRIP965,785.5,Cash
PAY967,TRIP967,767.83,UPI
PAY968,TRIP968,807.29,UPI
PAY969,TRIP969,347.84,Card
PAY974,TRIP974,777.5,UPI
PAY980,TRIP980,312.59,Card
PAY981,TRIP981,704.69,Card
PAY983,TRIP983,361.13,Wallet
PAY987,TRIP987,708.36,Cash
PAY990,TRIP990,228.47,UPI
PAY992,TRIP992,203.89,UPI
PAY999,TRIP999,611.49,Card
PAY1001,TRIP1001,266.49,UPI
PAY1005,TRIP1005,559.3,Card
PAY1008,TRIP1008,332.69,UPI
PAY1010,TRIP1010,487.69,Wallet
PAY1015,TRIP1015,777.3,Wallet
PAY1016,TRIP1016,765.59,UPI
PAY1023,TRIP1023,158.52,Wallet
PAY1027,TRIP1027,621.73,Card
PAY1038,TRIP1038,55.45,Card
PAY1040,TRIP1040,808.22,Wallet
PAY1041,TRIP1041,799.75,UPI
PAY1045,TRIP1045,452.89,UPI
PAY1048,TRIP1048,55.45,Wallet
PAY1051,TRIP1051,542.34,Wallet
PAY1060,TRIP1060,381.8,UPI
PAY1062,TRIP1062,637.86,Cash
PAY1064,TRIP1064,225.65,Wallet
PAY1068,TRIP1068,824.69,Card
PAY1072,TRIP1072,936.57,UPI
PAY1079,TRIP1079,682.62,Wallet
PAY1083,TRIP1083,957.58,Card
PAY1087,TRIP1087,338.16,Wallet
PAY1088,TRIP1088,355.6,Wallet
PAY1092,TRIP1092,950.59,Card
PAY1097,TRIP1097,512.31,Cash
PAY1098,TRIP1098,469.55,Card
PAY1105,TRIP1105,326.17,Cash
PAY1107,TRIP1107,385.27,Card
PAY1109,TRIP1109,965.08,Card
PAY1110,TRIP1110,473.45,UPI
PAY1111,TRIP1111,652.9,UPI
PAY1115,TRIP1115,266.3,Wallet
PAY1118,TRIP1118,744.14,Card
PAY1121,TRIP1121,741.91,Card
PAY1122,TRIP1122,845.67,UPI
PAY1123,TRIP1123,926.99,Wallet
PAY1127,TRIP1127,660.41,Wallet
PAY1129,TRIP1129,951.2,Card
PAY1130,TRIP1130,347.46,Card
PAY1131,TRIP1131,253.97,Cash
PAY1132,TRIP1132,935.79,Card
PAY1137,TRIP1137,875.93,Cash
PAY1140,TRIP1140,532.86,Cash
PAY1144,TRIP1144,488.43,Card
PAY1147,TRIP1147,98.66,Cash
PAY1148,TRIP1148,610.41,UPI
PAY1150,TRIP1150,583.25,Card
PAY1154,TRIP1154,69.34,Wallet
PAY1155,TRIP1155,755.64,Wallet
PAY1157,TRIP1157,97.8,UPI
PAY1158,TRIP1158,239.2,UPI
PAY1159,TRIP1159,883.55,Card
PAY1164,TRIP1164,381.08,Cash
PAY1165,TRIP1165,164.17,Wallet
PAY1166,TRIP1166,85.55,Wallet
PAY1167,TRIP1167,721.3,Cash
PAY1168,TRIP1168,879.2,Card
PAY1169,TRIP1169,237.72,Cash
PAY1170,TRIP1170,255.21,Wallet
PAY1172,TRIP1172,768.14,Cash
PAY1173,TRIP1173,234.24,Wallet
PAY1175,TRIP1175,944.59,Wallet
PAY1178,TRIP1178,237.66,UPI
PAY1183,TRIP1183,485.4,Wallet
PAY1189,TRIP1189,241.02,Card
PAY1190,TRIP1190,292.09,Wallet
PAY1192,TRIP1192,287.84,Wallet
PAY1193,TRIP1193,820.99,Card
PAY1196,TRIP1196,668.54,UPI
PAY1197,TRIP1197,933.79,UPI
PAY1198,TRIP1198,501.49,Wallet
PAY1199,TRIP1199,522.54,Cash
PAY1201,TRIP1201,862.95,UPI
PAY1203,TRIP1203,646.84,Card
PAY1206,TRIP1206,113.81,Cash
PAY1207,TRIP1207,517.94,Card
PAY1213,TRIP1213,702.42,UPI
PAY1214,TRIP1214,663.63,Wallet
PAY1215,TRIP1215,725.46,Cash
PAY1216,TRIP1216,783.01,UPI
PAY1219,TRIP1219,807.32,UPI
PAY1226,TRIP1226,529.7,Wallet
PAY1227,TRIP1227,625.69,Card
PAY1232,TRIP1232,372.1,Wallet
PAY1235,TRIP1235,554.55,Wallet
PAY1237,TRIP1237,952.79,Cash
PAY1243,TRIP1243,615.88,Cash
PAY1244,TRIP1244,779.96,Cash
PAY1255,TRIP1255,414.65,Cash
PAY1256,TRIP1256,287.22,Wallet
PAY1277,TRIP1277,213.64,Card
PAY1279,TRIP1279,963.1,Wallet
PAY1281,TRIP1281,282.14,Cash
PAY1284,TRIP1284,149.82,Card
PAY1285,TRIP1285,554.38,Cash
PAY1287,TRIP1287,168.85,Wallet
PAY1290,TRIP1290,346.47,Cash
PAY1291,TRIP1291,497.77,Card
PAY1300,TRIP1300,55.74,Cash
PAY1304,TRIP1304,969.12,Cash
PAY1305,TRIP1305,451.26,Wallet
PAY1310,TRIP1310,219.12,Card
PAY1311,TRIP1311,861.56,Cash
PAY1313,TRIP1313,319.56,Wallet
PAY1314,TRIP1314,844.51,UPI
PAY1321,TRIP1321,466.26,Cash
PAY1334,TRIP1334,773.68,UPI
PAY1336,TRIP1336,551.41,Wallet
PAY1339,TRIP1339,758.43,Wallet
PAY1341,TRIP1341,904.24,Cash
PAY1353,TRIP1353,507.61,Cash
PAY1358,TRIP1358,832.73,Cash
PAY1359,TRIP1359,507.43,Wallet
PAY1360,TRIP1360,361.83,Card
PAY1362,TRIP1362,826.04,Wallet
PAY1363,TRIP1363,528.49,Card
PAY1364,TRIP1364,548.09,Wallet
PAY1367,TRIP1367,803.94,UPI
PAY1368,TRIP1368,966.71,UPI
PAY1372,TRIP1372,98.3,Wallet
PAY1376,TRIP1376,182.84,Cash
PAY1381,TRIP1381,767.56,Cash
PAY1382,TRIP1382,167.47,Cash
PAY1384,TRIP1384,555.16,Cash
PAY1388,TRIP1388,135.22,Wallet
PAY1389,TRIP1389,927.16,Cash
PAY1390,TRIP1390,131.47,Wallet
PAY1393,TRIP1393,827.33,Cash
PAY1394,TRIP1394,72.96,UPI
PAY1395,TRIP1395,368.95,UPI
PAY1398,TRIP1398,320.26,UPI
PAY1402,TRIP1402,905.98,Card
PAY1409,TRIP1409,456.26,Wallet
PAY1410,TRIP1410,156.93,Cash
PAY1422,TRIP1422,678.07,Cash
PAY1430,TRIP1430,633.62,Cash
PAY1431,TRIP1431,415.76,Wallet
PAY1432,TRIP1432,195.18,Cash
PAY1433,TRIP1433,367.36,Card
PAY1434,TRIP1434,429.02,Card
PAY1436,TRIP1436,683.89,Card
PAY1438,TRIP1438,597.43,UPI
PAY1439,TRIP1439,982.91,UPI
PAY1444,TRIP1444,122.8,Wallet
PAY1446,TRIP1446,427.99,Card
PAY1453,TRIP1453,972.79,Card
PAY1460,TRIP1460,500.36,UPI
PAY1461,TRIP1461,351.26,Cash
PAY1463,TRIP1463,558.8,UPI
PAY1465,TRIP1465,512.15,Card
PAY1476,TRIP1476,262.98,Card
PAY1477,TRIP1477,128.89,Wallet
PAY1487,TRIP1487,467.64,Cash
PAY1488,TRIP1488,320.62,Card
PAY1489,TRIP1489,686.65,Card
PAY1499,TRIP1499,925.74,Cash
PAY1500,TRIP1500,424.95,Wallet
PAY1502,TRIP1502,861.56,Card
PAY1505,TRIP1505,862.04,Wallet
PAY1506,TRIP1506,726.28,Wallet
PAY1508,TRIP1508,414.8,Wallet
PAY1510,TRIP1510,56.72,Wallet
PAY1512,TRIP1512,402.21,UPI
PAY1521,TRIP1521,419.1,Wallet
PAY1522,TRIP1522,744.76,Cash
PAY1523,TRIP1523,161.33,Wallet
PAY1525,TRIP1525,266.4,Cash
PAY1527,TRIP1527,731.63,Cash
PAY1528,TRIP1528,980.36,Cash
PAY1530,TRIP1530,578.09,UPI
PAY1533,TRIP1533,382.59,Wallet
PAY1536,TRIP1536,233.56,UPI
PAY1537,TRIP1537,206.48,Card
PAY1538,TRIP1538,773.4,Wallet
PAY1543,TRIP1543,885.92,Wallet
PAY1544,TRIP1544,978.91,Wallet
PAY1545,TRIP1545,852.61,Wallet
PAY1548,TRIP1548,556.22,UPI
PAY1550,TRIP1550,840.09,Cash
PAY1551,TRIP1551,81.51,Wallet
PAY1552,TRIP1552,883.57,Cash
PAY1553,TRIP1553,941.01,Card
PAY1555,TRIP1555,869.97,Card
PAY1561,TRIP1561,926.8,Cash
PAY1562,TRIP1562,269.83,UPI
PAY1569,TRIP1569,639.63,UPI
PAY1570,TRIP1570,579.75,Wallet
PAY1578,TRIP1578,978.97,Card
PAY1581,TRIP1581,285.76,Wallet
PAY1584,TRIP1584,762.87,Card
PAY1585,TRIP1585,156.32,Cash
PAY1589,TRIP1589,297.5,Card
PAY1594,TRIP1594,149.15,Cash
PAY1595,TRIP1595,189.98,Wallet
PAY1596,TRIP1596,272.07,UPI
PAY1598,TRIP1598,975.86,Card
PAY1601,TRIP1601,640.25,Card
PAY1603,TRIP1603,696.31,Wallet
PAY1605,TRIP1605,686.39,UPI
PAY1606,TRIP1606,467.53,Wallet
PAY1608,TRIP1608,985.63,UPI
PAY1610,TRIP1610,493.7,Card
PAY1611,TRIP1611,837.48,Card
PAY1612,TRIP1612,261.85,Wallet
PAY1616,TRIP1616,837.54,Cash
PAY1618,TRIP1618,394.85,Wallet
PAY1619,TRIP1619,788.03,UPI
PAY1622,TRIP1622,660.46,Card
PAY1628,TRIP1628,942.68,Cash
PAY1633,TRIP1633,187.79,UPI
PAY1638,TRIP1638,385.39,Card
PAY1642,TRIP1642,998.91,UPI
PAY1643,TRIP1643,870.15,Cash
PAY1645,TRIP1645,695.2,Card
PAY1646,TRIP1646,747.04,Wallet
PAY1651,TRIP1651,902.61,Card
PAY1655,TRIP1655,454.1,Cash
PAY1656,TRIP1656,657.73,Wallet
PAY1659,TRIP1659,806.87,Card
PAY1664,TRIP1664,660.71,UPI
PAY1665,TRIP1665,473.99,Cash
PAY1666,TRIP1666,630.15,UPI
PAY1667,TRIP1667,560.23,Cash
PAY1674,TRIP1674,238.74,Cash
PAY1677,TRIP1677,720.11,Cash
PAY1678,TRIP1678,789.36,Card
PAY1683,TRIP1683,666.62,Card
PAY1695,TRIP1695,509.8,Card
PAY1696,TRIP1696,808.97,Cash
PAY1703,TRIP1703,526.91,Wallet
PAY1704,TRIP1704,943.13,Cash
PAY1706,TRIP1706,378.4,Cash
PAY1712,TRIP1712,459.67,Cash
PAY1717,TRIP1717,976.17,Cash
PAY1720,TRIP1720,477.47,UPI
PAY1721,TRIP1721,116.12,Wallet
PAY1725,TRIP1725,367.51,Cash
PAY1731,TRIP1731,637.37,Wallet
PAY1734,TRIP1734,606.28,Cash
PAY1736,TRIP1736,780.78,UPI
PAY1741,TRIP1741,709.89,Cash
PAY1742,TRIP1742,105.36,Cash
PAY1749,TRIP1749,484.89,Wallet
PAY1761,TRIP1761,480.45,Wallet
PAY1766,TRIP1766,601.89,Card
PAY1768,TRIP1768,601.74,UPI
PAY1770,TRIP1770,974.31,Cash
PAY1772,TRIP1772,994.8,Cash
PAY1774,TRIP1774,877.44,Card
PAY1775,TRIP1775,796.13,UPI
PAY1777,TRIP1777,244.17,Wallet
PAY1780,TRIP1780,449.36,Cash
PAY1782,TRIP1782,473.46,Wallet
PAY1784,TRIP1784,964.6,UPI
PAY1787,TRIP1787,893.62,Cash
PAY1789,TRIP1789,843.89,Card
PAY1792,TRIP1792,212.03,Cash
PAY1795,TRIP1795,350.54,Card
PAY1800,TRIP1800,790.22,Wallet
PAY1802,TRIP1802,936.42,UPI
PAY1808,TRIP1808,532.17,Cash
PAY1810,TRIP1810,870.58,Wallet
PAY1811,TRIP1811,640.13,UPI
PAY1814,TRIP1814,473.0,Wallet
PAY1816,TRIP1816,610.45,UPI
PAY1820,TRIP1820,574.2,Card
PAY1821,TRIP1821,657.14,Wallet
PAY1822,TRIP1822,378.91,UPI
PAY1824,TRIP1824,818.06,Wallet
PAY1833,TRIP1833,679.77,Cash
PAY1834,TRIP1834,418.21,UPI
PAY1836,TRIP1836,325.57,Card
PAY1838,TRIP1838,547.23,Cash
PAY1839,TRIP1839,333.79,Wallet
PAY1840,TRIP1840,471.36,UPI
PAY1844,TRIP1844,677.63,Card
PAY1845,TRIP1845,947.75,Wallet
PAY1847,TRIP1847,984.94,Card
PAY1848,TRIP1848,979.2,Cash
PAY1849,TRIP1849,618.5,Wallet
PAY1851,TRIP1851,658.88,UPI
PAY1852,TRIP1852,709.5,Wallet
PAY1857,TRIP1857,790.38,Wallet
PAY1866,TRIP1866,590.88,Wallet
PAY1868,TRIP1868,596.9,Card
PAY1870,TRIP1870,861.41,Card
PAY1873,TRIP1873,889.05,Cash
PAY1875,TRIP1875,334.42,Card
PAY1877,TRIP1877,283.21,UPI
PAY1878,TRIP1878,249.42,UPI
PAY1880,TRIP1880,845.05,Cash
PAY1881,TRIP1881,920.91,UPI
PAY1883,TRIP1883,846.35,Card
PAY1885,TRIP1885,120.7,Wallet
PAY1889,TRIP1889,70.98,Wallet
PAY1890,TRIP1890,902.14,Card
PAY1891,TRIP1891,592.42,Cash
PAY1892,TRIP1892,509.14,Cash
PAY1893,TRIP1893,785.38,Card
PAY1894,TRIP1894,535.92,UPI
PAY1897,TRIP1897,925.23,Wallet
PAY1900,TRIP1900,374.39,Card
PAY1901,TRIP1901,542.37,UPI
PAY1902,TRIP1902,784.02,UPI
PAY1903,TRIP1903,847.33,Wallet
PAY1906,TRIP1906,437.09,Wallet
PAY1908,TRIP1908,394.42,UPI
PAY1910,TRIP1910,51.72,UPI
PAY1912,TRIP1912,923.02,Cash
PAY1913,TRIP1913,678.79,UPI
PAY1915,TRIP1915,923.55,UPI
PAY1916,TRIP1916,457.5,Card
PAY1920,TRIP1920,728.86,Card
PAY1925,TRIP1925,612.82,Cash
PAY1927,TRIP1927,72.17,UPI
PAY1928,TRIP1928,538.1,Wallet
PAY1931,TRIP1931,539.05,Cash
PAY1934,TRIP1934,160.95,Card
PAY1941,TRIP1941,80.25,Wallet
PAY1942,TRIP1942,765.94,Card
PAY1947,TRIP1947,101.91,Wallet
PAY1948,TRIP1948,734.51,Cash
PAY1951,TRIP1951,74.98,Cash
PAY1957,TRIP1957,915.98,Wallet
PAY1958,TRIP1958,813.76,UPI
PAY1959,TRIP1959,358.92,UPI
PAY1960,TRIP1960,124.2,UPI
PAY1963,TRIP1963,483.8,UPI
PAY1964,TRIP1964,343.96,Cash
PAY1967,TRIP1967,684.98,Cash
PAY1971,TRIP1971,365.39,UPI
PAY1973,TRIP1973,479.02,Card
PAY1975,TRIP1975,348.26,Card
PAY1981,TRIP1981,333.19,UPI
PAY1982,TRIP1982,465.56,Wallet
PAY1985,TRIP1985,249.16,Cash
PAY1987,TRIP1987,759.64,Cash
PAY1988,TRIP1988,163.7,Wallet
PAY1990,TRIP1990,111.68,Cash
PAY2000,TRIP2000,161.24,Card
PAY2001,TRIP2001,295.53,Wallet
PAY2005,TRIP2005,548.98,UPI
PAY2006,TRIP2006,946.94,Wallet
PAY2007,TRIP2007,652.14,Wallet
PAY2009,TRIP2009,72.35,Cash
PAY2010,TRIP2010,531.97,Wallet
PAY2012,TRIP2012,957.5,UPI
PAY2013,TRIP2013,232.43,Wallet
PAY2014,TRIP2014,733.37,Card
PAY2015,TRIP2015,710.94,Wallet
PAY2018,TRIP2018,299.07,UPI
PAY2029,TRIP2029,832.45,Card
PAY2034,TRIP2034,53.19,UPI
PAY2041,TRIP2041,71.92,Wallet
PAY2042,TRIP2042,393.65,Card
PAY2046,TRIP2046,549.95,Wallet
PAY2054,TRIP2054,565.06,Cash
PAY2058,TRIP2058,480.39,Wallet
